Stock name,Symbol,Link,Scrap_Link
Tarapur Transformers Limited,TARAPUR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TARAPUR""",https://in.tradingview.com/symbols/NSE-TARAPUR/news/
Anant Raj Global Ltd,TARC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TARC""",https://in.tradingview.com/symbols/NSE-TARC/news/
Transformers & Rectifiers India Ltd,TARIL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TARIL""",https://in.tradingview.com/symbols/NSE-TARIL/news/
Tarmat Limited,TARMAT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TARMAT""",https://in.tradingview.com/symbols/NSE-TARMAT/news/
Tarsons Products Ltd,TARSONS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TARSONS""",https://in.tradingview.com/symbols/NSE-TARSONS/news/
Tasty Bite Eatables Ltd,TASTYBITE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TASTYBITE""",https://in.tradingview.com/symbols/NSE-TASTYBITE/news/
Tata Chemicals Limited,TATACHEM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TATACHEM""",https://in.tradingview.com/symbols/NSE-TATACHEM/news/
Tata Communications Limited,TATACOMM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TATACOMM""",https://in.tradingview.com/symbols/NSE-TATACOMM/news/
TATA Consumer Products Ltd,TATACONSUM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TATACONSUM""",https://in.tradingview.com/symbols/NSE-TATACONSUM/news/
Tata Elxsi Limited,TATAELXSI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TATAELXSI""",https://in.tradingview.com/symbols/NSE-TATAELXSI/news/
Tata Gold Exchange Traded Fund,TATAGOLD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TATAGOLD""",https://in.tradingview.com/symbols/NSE-TATAGOLD/news/
Tata Investment Corporation Limited,TATAINVEST,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TATAINVEST""",https://in.tradingview.com/symbols/NSE-TATAINVEST/news/
Tata Motors Limited,TATAMOTORS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TATAMOTORS""",https://in.tradingview.com/symbols/NSE-TATAMOTORS/news/
Tata Power Company Limited,TATAPOWER,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TATAPOWER""",https://in.tradingview.com/symbols/NSE-TATAPOWER/news/
